id,address,type,area,width,length,status,assigned_date,formwork_type,formwork_start_time,formwork_end_time,assembly_start_time,assembly_end_time,mesh_start_time,mesh_end_time,concrete_start_time,concrete_end_time,packing_status,truck_id,shipping_date,shipping_time,svg_path,user_id
,N-A11-B12,Flat -Type A,1.532,570,1844,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A13-B14,Flat -Type A,1.535,580,1835,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A15-B16,Flat -Type A,1.539,590,1826,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A17-B18,Flat -Type A,1.544,600,1817,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A19-B20,Flat -Type A,1.554,610,1817,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A21-B22,Flat -Type A,1.544,620,1801,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A23-B24,Flat -Type A,1.54,640,1784,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A25-B26,Flat -Type A,1.57,700,1770,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A7-B8,Flat -Type A,1.542,560,1862,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-A9-B10,Flat -Type A,1.542,570,1853,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B10-A11,Flat -Type A,1.479,640,1660,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B10-C11,Flat -Type A,1.489,520,1844,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B12-A13,Flat -Type A,1.485,640,1668,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B12-C13,Flat -Type A,1.496,530,1835,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B14-A15,Flat -Type A,1.487,640,1677,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B14-C15,Flat -Type A,1.5,540,1825,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B16-A17,Flat -Type A,1.49,640,1685,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B16-C17,Flat -Type A,1.486,540,1816,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B18-A19,Flat -Type A,1.508,640,1707,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B18-C19,Flat -Type A,1.495,550,1817,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B20-A21,Flat -Type A,1.525,650,1721,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B20-C21,Flat -Type A,1.501,570,1803,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B22-A23,Flat -Type A,1.541,660,1736,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B22-C23,Flat -Type A,1.503,590,1786,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B24-A25,Flat -Type A,1.559,680,1752,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B24-C25,Flat -Type A,1.5,620,1770,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B26-A27,Flat -Type A,1.627,760,1766,pending,NULL,H-F-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B26-C27,Flat -Type A,1.578,720,1757,pending,NULL,H-F-16,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B4-A5,Flat -Type A,1.553,610,1796,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B4-C5,Flat -Type A,1.531,570,1796,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B8-A9,Flat -Type A,1.471,640,1651,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-B8-C9,Flat -Type A,1.499,520,1853,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C11-B12,Flat -Type A,1.426,580,1660,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C11-D12,Flat -Type A,1.455,480,1834,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C13-B14,Flat -Type A,1.429,580,1668,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C13-D14,Flat -Type A,1.446,480,1825,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C15-B16,Flat -Type A,1.447,590,1677,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C15-D16,Flat -Type A,1.447,490,1816,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C17-B18,Flat -Type A,1.451,590,1685,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C17-D18,Flat -Type A,1.452,500,1807,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C19-B20,Flat -Type A,1.474,600,1708,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C19-D20,Flat -Type A,1.451,510,1804,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C21-B22,Flat -Type A,1.474,600,1722,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C21-D22,Flat -Type A,1.457,530,1788,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C23-B24,Flat -Type A,1.5,620,1738,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C23-D24,Flat -Type A,1.462,560,1771,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C25-B26,Flat -Type A,1.551,680,1753,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C25-D26,Flat -Type A,1.512,640,1757,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C7-B8,Flat -Type A,1.414,580,1643,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C7-D8,Flat -Type A,1.456,470,1853,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C9-B10,Flat -Type A,1.42,580,1651,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-C9-D10,Flat -Type A,1.448,470,1843,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D10-C11,Flat -Type A,1.383,530,1651,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D10-E11,Flat -Type A,1.41,430,1834,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D12-C13,Flat -Type A,1.386,530,1660,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D12-E13,Flat -Type A,1.416,440,1825,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D14-C15,Flat -Type A,1.392,530,1668,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D14-E15,Flat -Type A,1.405,440,1816,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D16-C17,Flat -Type A,1.41,540,1677,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D16-E17,Flat -Type A,1.407,450,1807,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D18-C19,Flat -Type A,1.415,540,1695,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D18-E19,Flat -Type A,1.413,460,1804,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D20-C21,Flat -Type A,1.43,550,1708,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D20-E21,Flat -Type A,1.42,480,1790,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D22-C23,Flat -Type A,1.442,560,1724,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D22-E23,Flat -Type A,1.418,500,1772,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D24-C25,Flat -Type A,1.494,610,1739,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D24-E25,Flat -Type A,1.452,560,1757,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D26-C27,Flat -Type A,1.574,700,1753,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D26-E27,Flat -Type A,1.527,660,1745,pending,NULL,F-H-15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D4-C5,Flat -Type A,1.494,520,1820,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D4-E5,Flat -Type A,1.503,510,1820,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D8-C9,Flat -Type A,1.378,530,1643,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-D8-E9,Flat -Type A,1.402,420,1843,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E11-D12,Flat -Type A,1.34,480,1651,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E11-F12,Flat -Type A,1.366,390,1825,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E13-D14,Flat -Type A,1.345,480,1659,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E13-F14,Flat -Type A,1.372,400,1816,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E15-D16,Flat -Type A,1.363,490,1668,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E15-F16,Flat -Type A,1.375,410,1807,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E17-D18,Flat -Type A,1.364,490,1676,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E17-F18,Flat -Type A,1.381,420,1798,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E19-D20,Flat -Type A,1.382,500,1695,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E19-F20,Flat -Type A,1.378,430,1791,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E21-D22,Flat -Type A,1.395,510,1710,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E21-F22,Flat -Type A,1.382,450,1775,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E23-D24,Flat -Type A,1.428,540,1726,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E23-F24,Flat -Type A,1.398,490,1758,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E25-D26,Flat -Type A,1.499,620,1740,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E25-F26,Flat -Type A,1.46,580,1744,pending,NULL,F-H-12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E7-D8,Flat -Type A,1.331,480,1635,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E7-F8,Flat -Type A,1.367,380,1843,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E9-D10,Flat -Type A,1.337,480,1643,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-E9-F10,Flat -Type A,1.378,390,1834,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F10-E11,Flat -Type A,1.289,430,1643,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F10-G11,Flat -Type A,1.347,360,1825,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F12-E13,Flat -Type A,1.308,440,1651,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F12-G13,Flat -Type A,1.335,360,1816,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F14-E15,Flat -Type A,1.311,440,1659,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F14-G15,Flat -Type A,1.342,370,1807,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F16-E17,Flat -Type A,1.327,450,1668,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F16-G17,Flat -Type A,1.347,380,1798,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F18-E19,Flat -Type A,1.328,450,1682,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F18-G19,Flat -Type A,1.35,390,1792,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F20-E21,Flat -Type A,1.344,460,1696,pending,NULL,F-H-8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F20-G21,Flat -Type A,1.343,400,1777,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F22-E23,Flat -Type A,1.368,480,1712,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F22-G23,Flat -Type A,1.348,430,1759,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F24-E25,Flat -Type A,1.425,540,1727,pending,NULL,F-H-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F24-G25,Flat -Type A,1.41,510,1744,pending,NULL,F-H-10,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F26-E27,Flat -Type A,1.52,640,1741,pending,NULL,F-H-14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F26-G27,Flat -Type A,1.487,610,1732,pending,NULL,F-H-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F4-E5,Flat -Type A,1.476,480,1838,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F4-G5,Flat -Type A,1.501,490,1838,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F8-E9,Flat -Type A,1.284,430,1634,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-F8-G9,Flat -Type A,1.353,360,1835,pending,NULL,F-H-5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G11-F12,Flat -Type A,1.27,400,1643,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G11-H12,Flat -Type A,1.281,310,1815,pending,NULL,F-H-2,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G13-F14,Flat -Type A,1.273,400,1651,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G13-H14,Flat -Type A,1.29,320,1807,pending,NULL,F-H-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G15-F16,Flat -Type A,1.291,410,1660,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G15-H16,Flat -Type A,1.281,320,1797,pending,NULL,F-H-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G17-F18,Flat -Type A,1.291,410,1668,pending,NULL,F-H-6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G17-H18,Flat -Type A,1.29,330,1789,pending,NULL,F-H-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G19-F20,Flat -Type A,1.307,420,1683,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G19-H20,Flat -Type A,1.287,340,1778,pending,NULL,F-H-3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G21-F22,Flat -Type A,1.322,430,1698,pending,NULL,F-H-7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G21-H22,Flat -Type A,1.266,350,1761,pending,NULL,F-H-4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
,N-G23-F24,Flat -Type A,1.37,480,1714,pending,NULL,F-H-9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,pending,NULL,NULL,NULL,NULL,1
