element_id,element_type,zone_name,svg_file_name,axis_span,floor_level,contractor,block,plan_file,x_coord,y_coord,panel_orientation,width_cm,height_cm,area_sqm,created_at
Z01-GC-1-A-شآ,GFRC,Z01,Zone01.svg,9-8,1nd FLOOR,شرکت آتیه نما,A,Zone01.svg,1240.71,1642.64,Vertical,127.6,386.0,4.93,2025-07-05 16:48:40
Z01-GC-10-A-شآ,GFRC,Z01,Zone01.svg,7-6,1nd FLOOR,شرکت آتیه نما,A,Zone01.svg,2542.41,1447.5,Horizontal,62.0,5.89,0.04,2025-07-05 16:48:40
Z01-GC-100-A-شآ,GFRC,Z01,Z01.svg,1276-1300,3rd FLOOR,شرکت آتیه نما,A,Zone01.svg,2018.06,1019.99,Vertical,127.6,386.0,4.93,2025-07-09 10:45:12
Z01-GC-101-A-شآ,GFRC,Z01,Z01.svg,865-2940,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,840.298,1175.66,Horizontal,294.0,130.0,3.82,2025-07-09 10:45:12
Z01-GC-102-A-شآ,GFRC,Z01,Z01.svg,1300-615,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,1045.65,1175.66,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-103-A-شآ,GFRC,Z01,Z01.svg,1300-1300,1nd FLOOR,شرکت آتیه نما,A,Zone01.svg,2213.12,1486.98,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-104-A-شآ,GFRC,Z01,Z01.svg,3880-1276,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,1279.15,1175.66,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-105-A-شآ,GFRC,Z01,Z01.svg,3880-603,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,1746.13,1175.66,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-106-A-شآ,GFRC,Z01,Z01.svg,2940-865,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,2418.48,1175.66,Horizontal,294.0,130.0,3.82,2025-07-09 10:45:12
Z01-GC-107-A-شآ,GFRC,Z01,Z01.svg,3880-1276,1nd FLOOR,شرکت آتیه نما,A,Zone01.svg,1279.15,1486.98,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-108-A-شآ,GFRC,Z01,Z01.svg,1300-1300,2nd FLOOR,شرکت آتیه نما,A,Zone01.svg,2213.12,1175.66,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-109-A-شآ,GFRC,Z01,Z01.svg,620-620,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,716.365,513.528,Horizontal,62.0,5.89,0.04,2025-07-09 10:45:12
Z01-GC-11-A-شآ,GFRC,Z01,Zone01.svg,8-7,1nd FLOOR,شرکت آتیه نما,A,Zone01.svg,2522.05,1486.98,Vertical,2.0,130.0,0.03,2025-07-05 16:48:40
Z01-GC-110-A-شآ,GFRC,Z01,Z01.svg,679-1300,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,736.722,553.005,Vertical,2.0,130.0,0.03,2025-07-09 10:45:12
Z01-GC-111-A-شآ,GFRC,Z01,Z01.svg,1300-615,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,1045.65,553.005,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
Z01-GC-112-A-شآ,GFRC,Z01,Z01.svg,620-620,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,716.366,591.322,Horizontal,62.0,2.0,0.01,2025-07-09 10:45:12
Z01-GC-113-A-شآ,GFRC,Z01,Z01.svg,620-620,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,2542.41,513.528,Horizontal,62.0,5.89,0.04,2025-07-09 10:45:12
Z01-GC-114-A-شآ,GFRC,Z01,Z01.svg,865-2940,GROUND FLOOR,شرکت آتیه نما,A,Zone01.svg,840.298,1798.31,Horizontal,294.0,130.0,3.82,2025-07-09 10:45:12
Z01-GC-115-A-شآ,GFRC,Z01,Z01.svg,1300-8,4th FLOOR,شرکت آتیه نما,A,Zone01.svg,2522.05,553.005,Vertical,2.0,130.0,0.03,2025-07-09 10:45:12
Z01-GC-116-A-شآ,GFRC,Z01,Z01.svg,1300-615,GROUND FLOOR,شرکت آتیه نما,A,Zone01.svg,1045.65,1798.31,Horizontal,388.0,130.0,5.04,2025-07-09 10:45:12
