element_id,svg_file_name,zone_name,element_type,axis_span,floor_level,panel_orientation,x_coord,y_coord,path_d_for_debug
2788846b196db5b4,Zone01.svg,Z01,GFRC,10-9,5th FLOOR,Horizontal,732.18553,279.53864500000003,"M639.59106,238.59549 L824.78,238.59549 L824.78,320.4818 L639.59106,320.4818 z"
d35ec2dc2e5eeca2,Zone01.svg,Z01,GFRC,10-9,5th FLOOR,Horizontal,948.2394300000001,279.53864500000003,"M1070.439,238.59549 L826.03986,238.59549 L826.03986,320.4818 L1070.439,320.4818 z"
bbfe0bfb66d5f794,Zone01.svg,Z01,GFRC,9-8,5th FLOOR,Horizontal,1193.8982999999998,279.53864500000003,"M1316.0979,238.59549 L1071.6987,238.59549 L1071.6987,320.4818 L1316.0979,320.4818 z"
99a4f1881d16bfac,Zone01.svg,Z01,GFRC,9-8,5th FLOOR,Horizontal,1439.55725,279.53864500000003,"M1561.7568,238.59549 L1317.3577,238.59549 L1317.3577,320.4818 L1561.7568,320.4818 z"
793eaed43915bbd9,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Horizontal,1685.21615,279.53864500000003,"M1807.4158,238.59549 L1563.0165,238.59549 L1563.0165,320.4818 L1807.4158,320.4818 z"
934a416aefa4c500,Zone01.svg,Z01,GFRC,7-8,5th FLOOR,Horizontal,2392.5879,279.53864500000003,"M2485.1824,238.59549 L2299.9934,238.59549 L2299.9934,320.4818 L2485.1824,320.4818 z"
944cbbebb97343c7,Zone01.svg,Z01,GFRC,7-8,5th FLOOR,Horizontal,2176.53395,279.53864500000003,"M2298.7334,238.59549 L2054.3345,238.59549 L2054.3345,320.4818 L2298.7334,320.4818 z"
92584c1cc051f827,Zone01.svg,Z01,GFRC,8-7,5th FLOOR,Horizontal,1930.87505,279.53864500000003,"M2053.0747,238.59549 L1808.6754,238.59549 L1808.6754,320.4818 L2053.0747,320.4818 z"
b1f61c20aa29185d,Zone01.svg,Z01,GFRC,9-8,5th FLOOR,Vertical,1317.4836,443.31125,"M1276.5404,321.7416 L1358.4268,321.7416 L1358.4268,564.8809 L1276.5404,564.8809 z"
46f8e4233d76f861,Zone01.svg,Z01,GFRC,9-8,5th FLOOR,Vertical,1235.0934499999998,443.31125,"M1194.9061,564.8809 L1275.2808,564.8809 L1275.2808,321.7416 L1194.9061,321.7416 z"
